Period 1 	 [2, 33, 49, 44] 0.90 days. [11] R: 0
Period 1 	 [1, 2, 0] 0.13 days. [4] R: 0
Period 1 	 [1, 2, 33, 49, 97] 1.00 days. [5] R: 0
Period 1 	 [1, 2, 33, 49, 98] 1.00 days. [1] R: 0
Period 1 	 [3, 2, 33, 6, 66] 1.16 days. [5] R: 0
Period 1 	 [3, 2, 33, 49, 99] 1.05 days. [1] R: 0
Period 1 	 [4, 2, 33, 12, 72] 1.01 days. [4] R: 0
Period 1 	 [6, 5] 0.28 days. [1] R: 0
Period 1 	 [6, 33, 29, 30] 0.81 days. [11] R: 0
Period 1 	 [7, 6, 33, 12, 16] 0.95 days. [2] R: 0
Period 1 	 [7, 6, 33, 37, 39] 0.88 days. [11] R: 0
Period 1 	 [8, 6, 66] 0.33 days. [3] R: 0
Period 1 	 [8, 6, 33, 37, 39] 1.03 days. [3] R: 0
Period 1 	 [9, 6, 5] 0.30 days. [1] R: 0
Period 1 	 [9, 6, 33, 49, 44] 0.97 days. [1] R: 0
Period 1 	 [10, 6, 33, 12, 71] 0.83 days. [3] R: 0
Period 1 	 [10, 6, 33, 12, 72] 0.84 days. [6] R: 0
Period 1 	 [10, 6, 33] 0.56 days. [1] R: 0
Period 1 	 [60, 6, 33] 0.55 days. [6] R: 0
Period 1 	 [67, 6, 33, 12, 13] 0.90 days. [1] R: 0
Period 1 	 [68, 6, 33, 49, 97] 1.00 days. [1] R: 0
Period 1 	 [12, 33, 6, 69] 0.85 days. [1] R: 0
Period 1 	 [12, 71] 0.10 days. [7] R: 0
Period 1 	 [12, 33, 24, 77] 0.83 days. [4] R: 0
Period 1 	 [12, 33] 0.27 days. [20] R: 0
Period 1 	 [12, 33, 37, 39] 0.56 days. [1] R: 0
Period 1 	 [12, 33, 37, 87] 0.44 days. [1] R: 0
Period 1 	 [12, 33, 49, 97] 0.67 days. [1] R: 0
Period 1 	 [12, 33, 49, 104] 0.66 days. [1] R: 0
Period 1 	 [11, 12, 33, 49, 97] 0.87 days. [6] R: 0
Period 1 	 [15, 12, 33, 29, 30] 0.83 days. [2] R: 0
Period 1 	 [70, 12, 33, 49, 98] 0.77 days. [1] R: 0
Period 1 	 [19, 33] 0.28 days. [16] R: 0
Period 1 	 [18, 19, 33, 37, 41] 0.61 days. [12] R: 0
Period 1 	 [18, 19, 33, 37, 87] 0.54 days. [7] R: 0
Period 1 	 [74, 19, 33, 6, 66] 0.87 days. [1] R: 0
Period 1 	 [74, 19, 33, 37, 89] 0.63 days. [5] R: 0
Period 1 	 [24, 33, 37, 82] 0.73 days. [6] R: 0
Period 1 	 [24, 33, 37, 84] 0.72 days. [4] R: 0
Period 1 	 [24, 33, 49, 101] 0.94 days. [4] R: 0
Period 1 	 [23, 24, 33, 6, 66] 1.15 days. [1] R: 0
Period 1 	 [23, 24, 33, 12, 13] 1.00 days. [7] R: 0
Period 1 	 [25, 24, 33, 6, 66] 1.25 days. [3] R: 0
Period 1 	 [75, 24, 33, 6, 5] 1.28 days. [3] R: 0
Period 1 	 [75, 24, 33] 0.66 days. [1] R: 0
Period 1 	 [29, 33, 6, 59] 0.75 days. [4] R: 0
