Period 10 	 [137, 116, 119] 0.12 days. [5] R: 0
Period 10 	 [146, 116, 135] 0.16 days. [1] R: 0
Period 10 	 [151, 116, 147] 0.13 days. [2] R: 0
Period 10 	 [154, 116, 148] 0.16 days. [1] R: 0
Period 10 	 [155, 116, 143] 0.14 days. [1] R: 0
Period 10 	 [155, 116, 150] 0.14 days. [2] R: 0
Period 11 	 [135, 116, 117] 0.16 days. [1] R: 1
Period 11 	 [137, 116, 117] 0.11 days. [1] R: 0
Period 11 	 [137, 116, 118] 0.13 days. [1] R: 0
Period 11 	 [139, 116, 118] 0.13 days. [1] R: 0
Period 11 	 [141, 116, 118] 0.13 days. [1] R: 0
Period 11 	 [141, 116, 119] 0.12 days. [1] R: 0
Period 11 	 [142, 116, 124] 0.12 days. [1] R: 0
Period 11 	 [143, 116, 117] 0.12 days. [1] R: 1
Period 11 	 [146, 116, 117] 0.11 days. [1] R: 0
Period 11 	 [147, 116, 118] 0.14 days. [3] R: 2
Period 11 	 [148, 116, 117] 0.11 days. [1] R: 1
Period 11 	 [148, 116, 118] 0.13 days. [1] R: 1
Period 11 	 [150, 116, 117] 0.12 days. [1] R: 2
Period 11 	 [150, 116, 118] 0.13 days. [1] R: 2
Period 11 	 [152, 116, 149] 0.11 days. [1] R: 0
Period 12 	 [137, 116, 119] 0.12 days. [1] R: 0
Period 12 	 [140, 116, 118] 0.13 days. [2] R: 0
Period 12 	 [141, 116, 118] 0.13 days. [1] R: 0
Period 12 	 [149, 116, 117] 0.11 days. [2] R: 1
Period 12 	 [150, 116, 118] 0.13 days. [1] R: 2
Period 12 	 [153, 116, 106] 0.17 days. [0] R: 0
Period 12 	 [156, 116, 124] 0.16 days. [1] R: 0
	 Repartido Periodo 10: 12.000000
	 Repartido Periodo 11: 17.000000
	 Repartido Periodo 12: 10.000000
	 Repartido Periodo 13: 0.000000
Scenario 0
	 Demandas Periodo 10: 496.000000 [0]
	 Demandas Periodo 11: 596.000000 [0]
	 Demandas Periodo 12: 680.000000 [0]
	 Demandas Periodo 13: 768.000000 [0]
Scenario 1
	 Demandas Periodo 10: 656.000000 [0]
	 Demandas Periodo 11: 774.000000 [0]
	 Demandas Periodo 12: 883.000000 [0]
	 Demandas Periodo 13: 999.000000 [0]
Scenario 2
	 Demandas Periodo 10: 403.000000 [0]
	 Demandas Periodo 11: 476.000000 [0]
	 Demandas Periodo 12: 540.000000 [0]
	 Demandas Periodo 13: 606.000000 [0]
ObjVal: 8.333333 Time: 27.715999 GAP: 0.000000
