Period 4 	 [4, 2, 33, 37, 38] 0.98 days. [2] R: 0
Period 4 	 [56, 2, 33, 6, 5] 1.22 days. [5] R: 0
Period 4 	 [57, 2, 33, 49, 50] 1.00 days. [1] R: 0
Period 4 	 [6, 33, 37, 36] 0.61 days. [7] R: 0
Period 4 	 [9, 6, 7] 0.17 days. [3] R: 0
Period 4 	 [10, 6, 33, 37, 36] 0.72 days. [4] R: 0
Period 4 	 [61, 6, 33, 49, 54] 0.96 days. [4] R: 0
Period 4 	 [66, 6, 7] 0.18 days. [1] R: 0
Period 4 	 [69, 6, 33, 2] 1.18 days. [1] R: 0
Period 4 	 [69, 6, 33, 49, 104] 1.07 days. [1] R: 0
Period 4 	 [12, 33, 6, 59] 0.72 days. [3] R: 0
Period 4 	 [12, 33, 6, 67] 0.74 days. [1] R: 0
Period 4 	 [12, 33, 37] 0.43 days. [20] R: 0
Period 4 	 [14, 12, 33, 6, 67] 0.96 days. [1] R: 0
Period 4 	 [71, 12] 0.10 days. [9] R: 0
Period 4 	 [72, 12, 33, 2] 0.87 days. [3] R: 0
Period 4 	 [19, 33, 49, 54] 0.66 days. [3] R: 0
Period 4 	 [17, 19, 33, 6, 5] 1.18 days. [2] R: 0
Period 4 	 [18, 19, 33, 24] 0.94 days. [1] R: 0
Period 4 	 [18, 19, 33, 29, 32] 0.77 days. [6] R: 0
Period 4 	 [20, 19, 33, 2, 1] 0.97 days. [3] R: 0
Period 4 	 [74, 19, 33, 6, 7] 0.87 days. [1] R: 0
Period 4 	 [24, 33, 37] 0.72 days. [1] R: 0
Period 4 	 [24, 33, 49, 54] 0.94 days. [4] R: 0
Period 4 	 [23, 24, 33, 29, 26] 1.03 days. [1] R: 0
Period 4 	 [75, 24, 33, 6, 58] 1.28 days. [1] R: 0
Period 4 	 [77, 24, 33, 2] 1.16 days. [3] R: 0
Period 4 	 [77, 24, 33, 49, 104] 1.05 days. [1] R: 0
Period 4 	 [29, 33, 6, 67] 0.77 days. [1] R: 0
Period 4 	 [29, 33, 37, 36] 0.46 days. [6] R: 0
Period 4 	 [29, 33, 37, 38] 0.54 days. [20] R: 0
Period 4 	 [30, 29, 33, 6, 8] 1.10 days. [3] R: 0
Period 4 	 [33, 2, 1] 0.50 days. [1] R: 0
Period 4 	 [33, 6, 7] 0.49 days. [20] R: 0
Period 4 	 [33, 12, 11] 0.37 days. [20] R: 0
Period 4 	 [33, 29, 32] 0.39 days. [1] R: 0
Period 4 	 [33, 37] 0.16 days. [20] R: 0
Period 4 	 [33, 37, 36] 0.16 days. [20] R: 0
Period 4 	 [33, 37, 38] 0.24 days. [20] R: 0
Period 4 	 [33, 37, 87] 0.17 days. [19] R: 0
Period 4 	 [33, 37, 92] 0.25 days. [1] R: 0
Period 4 	 [33, 49, 50] 0.39 days. [20] R: 0
Period 4 	 [34, 37, 33, 6, 7] 0.78 days. [3] R: 0
Period 4 	 [35, 37, 33, 6, 7] 0.79 days. [1] R: 0
Period 4 	 [35, 37] 0.14 days. [1] R: 0
Period 4 	 [39, 37, 33, 6, 67] 0.86 days. [3] R: 0
Period 4 	 [40, 37, 33, 19, 22] 0.64 days. [1] R: 0
Period 4 	 [79, 37, 33, 2, 1] 0.79 days. [2] R: 0
Period 4 	 [79, 37, 33, 12, 11] 0.66 days. [4] R: 0
Period 4 	 [79, 37, 38] 0.22 days. [2] R: 0
Period 4 	 [84, 37, 33, 2, 1] 0.76 days. [3] R: 0
Period 4 	 [96, 37, 33, 2, 0] 0.81 days. [1] R: 0
Period 4 	 [49, 33, 2, 1] 0.88 days. [10] R: 0
Period 4 	 [42, 49, 33, 37, 38] 0.74 days. [1] R: 0
Period 4 	 [44, 49, 33, 2] 1.00 days. [4] R: 0
Period 4 	 [44, 49, 98] 0.13 days. [1] R: 0
Period 4 	 [45, 49, 33, 2] 1.15 days. [2] R: 0
Period 4 	 [48, 49, 33, 29, 32] 1.04 days. [1] R: 0
Period 4 	 [52, 49, 33, 12] 0.76 days. [3] R: 0
Period 4 	 [52, 49, 33, 29, 32] 0.88 days. [15] R: 0
Period 4 	 [53, 49, 33, 6, 5] 1.11 days. [1] R: 0
Period 4 	 [55, 49, 33, 29] 0.83 days. [1] R: 0
Period 4 	 [97, 49, 33, 12] 0.77 days. [3] R: 0
Period 4 	 [100, 49, 33, 2] 0.98 days. [5] R: 0
Period 4 	 [100, 49, 33, 29] 0.78 days. [1] R: 0
Period 4 	 [100, 49, 102] 0.11 days. [4] R: 0
Period 4 	 [103, 49, 102] 0.11 days. [8] R: 0
Period 4 	 [105, 49, 33, 12] 0.76 days. [4] R: 0
Period 5 	 [2, 33, 24, 25] 1.16 days. [11] R: 12
Period 5 	 [0, 2, 1] 0.13 days. [1] R: 1
Period 5 	 [6, 5] 0.28 days. [1] R: 0
Period 5 	 [6, 33, 12, 14] 0.84 days. [2] R: 0
Period 5 	 [8, 6, 33, 37, 35] 0.93 days. [1] R: 0
Period 5 	 [8, 6, 33, 37, 38] 0.98 days. [1] R: 0
Period 5 	 [64, 6, 58] 0.31 days. [2] R: 0
Period 5 	 [12, 13] 0.17 days. [9] R: 19
Period 5 	 [12, 33, 49, 50] 0.66 days. [17] R: 19
Period 5 	 [16, 12, 33, 37] 0.62 days. [1] R: 0
Period 5 	 [19, 33, 6, 5] 0.90 days. [1] R: 0
Period 5 	 [18, 19, 33, 6, 65] 0.87 days. [1] R: 0
Period 5 	 [24, 33, 19, 20] 0.93 days. [3] R: 1
Period 5 	 [24, 77] 0.11 days. [4] R: 1
Period 5 	 [24, 33, 49, 50] 0.95 days. [8] R: 1
Period 5 	 [24, 33, 49, 55] 0.99 days. [1] R: 1
Period 5 	 [23, 24, 33, 6, 65] 1.16 days. [1] R: 0
Period 5 	 [29, 33, 49, 50] 0.69 days. [7] R: 2
Period 5 	 [26, 29, 33, 49, 50] 0.86 days. [1] R: 0
Period 5 	 [37, 33, 2, 57] 0.66 days. [7] R: 42
Period 5 	 [37, 33, 6, 5] 0.78 days. [1] R: 42
Period 5 	 [33, 6, 7] 0.49 days. [20] R: 0
Period 5 	 [33, 49, 54] 0.38 days. [12] R: 0
Period 5 	 [86, 37, 33, 49, 54] 0.65 days. [1] R: 0
Period 5 	 [87, 37] 0.11 days. [1] R: 19
Period 5 	 [87, 37, 84] 0.11 days. [3] R: 19
Period 5 	 [92, 37, 33, 49, 54] 0.74 days. [1] R: 1
Period 5 	 [44, 49, 33, 24, 76] 1.06 days. [1] R: 0
Period 5 	 [52, 49, 54] 0.11 days. [5] R: 0
Period 5 	 [98, 49, 33, 37, 79] 0.69 days. [3] R: 1
Period 5 	 [104, 49, 51] 0.11 days. [2] R: 0
Period 6 	 [58, 6, 33, 37, 92] 0.97 days. [1] R: 3
Period 6 	 [59, 6, 8] 0.29 days. [2] R: 3
Period 6 	 [59, 6, 33, 49, 55] 0.99 days. [1] R: 3
Period 6 	 [65, 6, 33] 0.59 days. [1] R: 1
Period 6 	 [76, 24, 33, 37, 96] 0.85 days. [1] R: 0
Period 6 	 [27, 29, 33, 37, 86] 0.63 days. [1] R: 0
Period 6 	 [33, 2, 0] 0.52 days. [1] R: 0
Period 6 	 [36, 37, 33, 12, 16] 0.62 days. [1] R: 37
Period 6 	 [36, 37, 33, 49, 45] 0.82 days. [2] R: 37
Period 6 	 [84, 37, 33, 24, 25] 0.92 days. [1] R: 3
	 Repartido Periodo 4: 350.000000
	 Repartido Periodo 5: 130.000000
	 Repartido Periodo 6: 12.000000
	 Repartido Periodo 7: 0.000000
Scenario 0
	 Demandas Periodo 4: 0.000000 [0]
	 Demandas Periodo 5: 2.000000 [0]
	 Demandas Periodo 6: 2.000000 [0]
	 Demandas Periodo 7: 2.000000 [0]
Scenario 1
	 Demandas Periodo 4: 122.000000 [0]
	 Demandas Periodo 5: 99.000000 [0]
	 Demandas Periodo 6: 103.000000 [0]
	 Demandas Periodo 7: 115.000000 [0]
Scenario 2
	 Demandas Periodo 4: 117.000000 [0]
	 Demandas Periodo 5: 94.000000 [0]
	 Demandas Periodo 6: 111.000000 [0]
	 Demandas Periodo 7: 98.000000 [0]
ObjVal: 18.000000 Time: 240.760562 GAP: 0.000000
